"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong"
"5144" 2 981 9810 260.861959885492 155.213165173599 -4.11097586134433 35.6476193734275 1.76553993991104 36.7648265150249 376.388888888889 4 "Sti" "VC" 6 11 36 47
"5145" 2 982 9820 321.753275378363 172.53451639736 -9.2749552168412 80.4261772452786 0.953702979941284 76.2719867307798 275.681818181818 4 "Sti" "VC" 6 11 36 47
"5146" 2 983 9830 380.083061717478 170.276882840291 -2.29447781680511 19.8961693361767 -5.56275476822356 15.633148713191 184.166666666667 4 "Sti" "VC" 6 11 36 47
"5147" 2 984 9840 381.589342335245 164.740077066301 0.378063514202132 3.68128377958772 -0.785079964905037 5.01017065461667 247.5 4 "Sti" "VC" 6 11 36 47
"5441" 2 1278 12780 147.191597379557 157.734976054766 3.01101003745753 26.1094551184633 0.837030078774148 27.1728233055988 412.318181818182 5 "Sti" "VC" 6 11 36 47
"5442" 2 1279 12790 127.68857329712 152.648452315893 0.279242442501858 10.1484574293582 3.63337796971226 6.87209269507156 432 5 "Sti" "VC" 6 11 36 47
"5443" 2 1280 12800 144.967519580546 153.826783576419 -4.04415453403275 35.0681897386226 3.64930915231994 28.8909058286126 371 5 "Sti" "VC" 6 11 36 47
"5444" 2 1281 12809.625 193.077110237204 162.528658948686 -6.15251409630426 53.3504666755647 1.2966169087891 42.4250607445119 343.6875 5 "Sti" "VC" 6 11 36 47
"5445" 2 1282 12820 247.988909965735 159.802384204218 -5.15174186621292 44.6724425905179 -3.47249607400514 37.8483656890892 437.545454545455 5 "Sti" "VC" 6 11 36 47
"5446" 2 1283 12830 279.966302026922 158.573611708673 -4.35440586943556 37.7584807759727 1.95305510810084 33.0845436035935 431.333333333333 5 "Sti" "VC" 6 11 36 47
"5447" 2 1284 12840 338.604781813501 162.685924826103 -6.70179814892721 58.1134887647758 -2.53488246110794 51.0719257567747 402.136363636364 5 "Sti" "VC" 6 11 36 47
"5741" 2 1578 15780 120.918184947838 188.070466293165 -1.1347842528812 9.84008626711811 -1.54259513504174 11.5426978703274 471.181818181818 6 "Sti" "VC" 6 11 36 47
"5742" 2 1579 15790 122.927255325894 169.465566245006 -1.56397618333767 14.5816797561753 4.50731696225448 13.3978768413438 427.277777777778 6 "Sti" "VC" 6 11 36 47
"5743" 2 1580 15800 181.085693489713 175.188691956773 -10.7331334416757 93.0705186597574 2.74161472333205 74.8650163471971 419 6 "Sti" "VC" 6 11 36 47
"5744" 2 1581 15809.625 254.486518101007 187.079376601918 -3.75409371453704 32.5529772836543 -5.96799607525546 33.9373088139784 466.8125 6 "Sti" "VC" 6 11 36 47
"5745" 2 1582 15820 267.505403197971 202.187298884335 -1.69028014814326 14.6569732802488 1.29177115805044 13.271136708228 469.409090909091 6 "Sti" "VC" 6 11 36 47
"5746" 2 1583 15830 292.465057535445 179.970470864953 -4.50078969984947 39.027822957737 2.73496418249925 18.8831957174606 354.444444444444 6 "Sti" "VC" 6 11 36 47
"5747" 2 1584 15840 348.707625318886 169.942379898583 -6.55447651900708 56.8360146160591 -2.06472488477658 52.3038743581383 310.272727272727 6 "Sti" "VC" 6 11 36 47
"6041" 2 1878 18780 23.8631669889527 160.867399523603 -0.566246290090935 4.91010721093757 1.91759647954585 8.16779419345514 331.045454545455 7 "Sti" "VC" 6 11 36 47
"6042" 2 1879 18790 43.9719536426555 170.560412655564 -4.15992676461129 36.0720887029739 1.5173646395977 46.520948752482 420.388888888889 7 "Sti" "VC" 6 11 36 47
"6043" 2 1880 18800 84.2959607442485 218.028637506182 -5.01330620741206 43.4720216104178 -0.0018909230073092 39.8769184026524 360.272727272727 7 "Sti" "VC" 6 11 36 47
"6044" 2 1881 18810 126.360870464588 222.711849079346 -5.09596600040065 44.1887917733494 2.83564263872013 22.8787427379915 335.722222222222 7 "Sti" "VC" 6 11 36 47
"6045" 2 1882 18820 184.424404824145 224.166353724008 -6.8124930599652 59.0733606269198 -1.37246286381659 37.0670499270848 294.818181818182 7 "Sti" "VC" 6 11 36 47
"6046" 2 1883 18830 232.137391415095 221.928808363792 -5.08379728377538 44.0832728422849 -1.55065320929535 30.4811369032869 325.722222222222 7 "Sti" "VC" 6 11 36 47
"6047" 2 1884 18840 266.749332422956 221.732879773298 -3.03383382660704 26.3073676763821 0.0652764865659492 20.2495452506229 231.318181818182 7 "Sti" "VC" 6 11 36 47
"6341" 2 2178 21780 379.525796862453 173.417401619032 -0.598058462886004 7.05947522674882 -1.84508472527199 3.54896891125355 409.727272727273 8 "Sti" "VC" 6 11 36 47
"6342" 2 2179 21790 373.281758804296 187.940801878265 1.17100719648594 10.1541872858929 -0.0999465265802542 5.65604855288285 373.722222222222 8 "Sti" "VC" 6 11 36 47
"6343" 2 2180 21800.1 373.253247706376 176.668647682326 -0.61166895107842 7.43476559156466 0.175469767473658 8.53248461714333 419 8 "Sti" "VC" 6 11 36 47
"6344" 2 2181 21810 369.658160743301 164.906325774506 -0.32367261128709 10.977201763801 1.77329511501739 11.8141826003753 366.944444444444 8 "Sti" "VC" 6 11 36 47
"6345" 2 2182 21820 382.833147811476 175.630320416918 -0.704756918452767 9.7359358533979 -0.889017419178231 10.6785224689917 454.136363636364 8 "Sti" "VC" 6 11 36 47
"6346" 2 2183 21830 383.205652019084 177.717602453804 0.426649148069695 4.15362587201975 -1.64508899480171 7.20969157471785 393.333333333333 8 "Sti" "VC" 6 11 36 47
"6347" 2 2184 21840 373.834647887645 180.921685453777 0.353913650373458 8.69496258364825 1.84517689440952 18.2215614759855 398.727272727273 8 "Sti" "VC" 6 11 36 47
"6641" 2 2478 24780.1 124.079700635044 202.680847542112 2.07374950547893 17.9821617884598 -0.370463934508081 12.8636362343568 476.3 9 "Sti" "VC" 6 11 36 47
"6642" 2 2479 24790 107.071979629857 212.952973321122 0.876185899958333 8.30531707493132 1.68023676771054 11.1707180723439 457.666666666667 9 "Sti" "VC" 6 11 36 47
"6643" 2 2480 24800 121.875947476343 173.960171591086 -5.13709511686956 44.5454358253944 4.9794966587408 29.3789433685155 402.863636363636 9 "Sti" "VC" 6 11 36 47
"6644" 2 2481 24810 163.291088964731 173.292184947378 -1.38087454465148 15.92634686485 -7.00238721216101 34.214847036572 403.166666666667 9 "Sti" "VC" 6 11 36 47
"6645" 2 2482 24820 158.384522309102 200.851362416501 -0.455796616804933 12.7774490918127 4.18452492187149 13.4596206506163 362.136363636364 9 "Sti" "VC" 6 11 36 47
"6646" 2 2483 24830 178.953172646674 169.610816247923 -3.09162609550159 26.8085033857039 0.158986181241886 10.4503402197223 290.388888888889 9 "Sti" "VC" 6 11 36 47
"6647" 2 2484 24840 220.580492845909 166.076750778025 -6.51608010000871 56.5030666796271 1.95371028264148 45.7481968076256 380.954545454545 9 "Sti" "VC" 6 11 36 47
"6941" 2 2778 27780 12.6327403553652 195.631191537385 0.00616041821105353 2.13597421554517 -0.408705725848295 2.85652540772114 417.409090909091 10 "Sti" "VC" 6 11 36 47
"6942" 2 2779 27790 16.864297736078 195.350913291012 -0.469815520334974 6.4566256666508 -0.30297040139226 12.9491224505065 396.333333333333 10 "Sti" "VC" 6 11 36 47
"6943" 2 2780 27800 8.71388244117141 167.22884845174 0.883387780325953 9.10528862285129 0.688649307870966 23.0173492217808 290.227272727273 10 "Sti" "VC" 6 11 36 47
"6944" 2 2781 27810 8.83127221587738 161.241049189263 -0.147601600153505 1.4924080575602 -0.339714682084786 4.77510941262432 351.611111111111 10 "Sti" "VC" 6 11 36 47
"6945" 2 2782 27820.4 8.35813226888915 163.954180091243 0.186249832744377 1.97478469208028 0.286128765107091 13.9362310884955 277.75 10 "Sti" "VC" 6 11 36 47
"6946" 2 2783 27830 9.81782494824659 154.665725079849 -0.919784741809974 7.97575502445451 2.38197821933116 6.11815097500175 176.055555555556 10 "Sti" "VC" 6 11 36 47
"6947" 2 2784 27840 33.5472164253866 152.995061664651 -3.77578320351666 32.7410539529483 -1.17104622440003 2.67348703606376 339.863636363636 10 "Sti" "VC" 6 11 36 47
"8403" 3 72 720 23.0296844147016 293.30811471353 0.575391327330166 9.72996134951584 2.81203370021835 3.80083587943085 368.454545454545 1 "Sti" "VC" 6 11 36 47
"8404" 3 73 730 25.8691448902498 292.631351938861 -0.927939393286207 8.04646668070166 3.36485208501251 2.61555371768952 358.722222222222 1 "Sti" "VC" 6 11 36 47
"8405" 3 74 740 72.3380994171169 297.042668043954 -11.3938428020805 98.7997461207208 7.1211553510674 44.688892458838 376.636363636364 1 "Sti" "VC" 6 11 36 47
"8406" 3 75 750 179.276133529062 326.973570723878 -10.3625591173762 89.8571472103149 -2.54234610288952 69.3978057768323 334.055555555556 1 "Sti" "VC" 6 11 36 47
