"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "expe" "plong" "day"
"973" 1 973 9729.5 316.183618286881 87.0540869954406 320.903812375657 88.4281842108459 -2.13920444415433 18.7035002113246 3.14554417309245 16.3427219590693 330.9375 4 "Sti" "CT" 1 4 39 NA
"974" 1 974 9740 349.87496004516 78.0802579067099 349.062151054824 79.2647477984818 -2.91666893044953 25.5010305845695 -2.41992630773422 23.5696473462631 431.5 4 "Sti" "CT" 1 4 39 NA
"1267" 1 1267 12670 38.5858689194294 89.8410818096964 38.5493288166924 89.8677758921389 0.105543994155894 0.922792640223399 -0.101261527062135 1.34924213733565 503.833333333333 5 "Sti" "CT" 1 4 39 NA
"1268" 1 1268 12680 48.9093220966679 94.1724291765225 56.2895094803704 93.2872155258099 -6.14456391783811 53.723173981725 10.9655176531537 33.1244962963371 374.772727272727 5 "Sti" "CT" 1 4 39 NA
"1269" 1 1269 12690 148.589040618689 85.5347200676983 155.911303785973 86.781732152038 -13.498618890956 118.021174633167 2.14884925445602 95.6561214734498 329.388888888889 5 "Sti" "CT" 1 4 39 NA
"1270" 1 1270 12700 269.605454222477 88.4406269853574 272.391841372937 88.2350731582885 -12.0856003128753 105.666865373032 -4.55783887485637 102.658349000398 270.272727272727 5 "Sti" "CT" 1 4 39 NA
"1271" 1 1271 12710 356.16100964632 94.8448585843011 357.33631386461 94.5820264164092 -7.88825211815034 68.9685951064537 -3.47896560244391 67.2157546058453 278.777777777778 5 "Sti" "CT" 1 4 39 NA
"1272" 1 1272 12720 393.439544468692 92.2076778997091 392.207800397151 91.6037588790178 -0.908385145716834 11.2101964601624 -5.09857406769021 11.3715621904327 277.727272727273 5 "Sti" "CT" 1 4 39 NA
"1273" 1 1273 12730 391.200381651375 81.0110643024525 392.532772631146 83.3780958663245 -0.241608515318734 4.16280914993899 0.994861099773971 6.02296656109201 396.555555555556 5 "Sti" "CT" 1 4 39 NA
"1274" 1 1274 12740 395.514387585395 89.629810742398 393.085636763197 86.2784109964645 1.06299005841928 12.6097780955509 -3.22402666866344 15.5160942522584 288.136363636364 5 "Sti" "CT" 1 4 39 NA
"1567" 1 1567 15670 195.19861608732 91.3284832809045 192.509335985537 90.6540433242115 5.47493415335702 47.8684645472406 -1.65325514174197 46.5249003984248 376.166666666667 6 "Sti" "CT" 1 4 39 NA
"1568" 1 1568 15680 142.655441725447 83.0866089860092 140.341688521554 83.7466610910844 6.13839324393028 53.6692225227822 1.16511238021967 46.80107161185 454.227272727273 6 "Sti" "CT" 1 4 39 NA
"1569" 1 1569 15690 108.758416567767 92.1690175545202 116.865605411393 91.51256766093 -2.09615597995212 34.2186694653309 11.7176951897264 26.7426184373062 411.611111111111 6 "Sti" "CT" 1 4 39 NA
"1570" 1 1570 15700 195.101591688123 89.2718950001535 198.198795051693 89.185912443595 -12.4272184722618 108.653702528189 -1.354054142058 93.1656673843751 361.681818181818 6 "Sti" "CT" 1 4 39 NA
"1571" 1 1571 15710 262.661887820824 80.7704074704663 261.783277818376 80.918371207671 -2.89883254929505 25.3450834708639 -5.59158036939726 22.4239129121359 447.611111111111 6 "Sti" "CT" 1 4 39 NA
"1572" 1 1572 15719.4444444444 263.86664151176 80.7612037973072 263.117201779248 81.7124130655538 1.24323758431781 10.8698794472667 -1.02322657961145 8.55106245396553 476.833333333333 6 "Sti" "CT" 1 4 39 NA
"1573" 1 1573 15729.625 258.139781474598 82.649410863974 253.88895350768 78.7686573098276 1.37912044783456 13.5567083551369 -2.38631055451955 17.6019340224865 491.5 6 "Sti" "CT" 1 4 39 NA
"1574" 1 1574 15740 229.198570341449 54.8322246046021 229.128942133622 56.5196655199828 3.09735185496591 27.0807781987396 1.2717184707011 28.7534069100993 476.545454545455 6 "Sti" "CT" 1 4 39 NA
"1867" 1 1867 18670 29.8938272324501 86.774821618206 29.9778793811693 86.7728795956621 -0.115127519108039 1.00658335104465 -0.0296716154565928 1.15440155410809 443.055555555556 7 "Sti" "CT" 1 4 39 NA
"1868" 1 1868 18680 32.5868282895261 86.8986131993515 35.199727196893 84.6329872076637 -1.86791810669906 16.3315885019087 4.62365775863691 5.3851928490798 448.772727272727 7 "Sti" "CT" 1 4 39 NA
"1869" 1 1869 18690 87.3445885873744 68.3441691461323 97.7341225668781 69.4070969347544 -11.9822619965583 104.763357423451 10.703226224653 74.4674080167704 360.222222222222 7 "Sti" "CT" 1 4 39 NA
"1870" 1 1870 18700 229.348951184883 54.7482925706361 231.927829066768 55.0433192816128 -15.2829141155653 133.621631242979 -7.30251975280137 124.544796208563 444.409090909091 7 "Sti" "CT" 1 4 39 NA
"1871" 1 1871 18710 313.340310807055 49.8533338475647 317.4352312621 48.0910138213569 -6.48626111096763 56.7107021449967 -2.52338725086975 55.0910251868949 472.888888888889 7 "Sti" "CT" 1 4 39 NA
"1872" 1 1872 18720 358.874798169805 38.5315566157336 358.531673920752 39.3670826502728 -3.19413281973363 27.9269538879925 -2.48889862513886 27.0073444825903 430.545454545455 7 "Sti" "CT" 1 4 39 NA
