"ID" "sec" "frame" "pos_y" "pos_x" "y2" "x2" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "ret" "pck" "expe" "cond" "plong"
"420...11" "1" 419 4190 197.816428452614 60.7965326530265 204.105845860578 61.3905836892414 -8.48461031378466 76.2464492319683 7.88822534170211 75.7144101547794 336.166666666667 "2" "Sti" "4" "2" "9" "CT" 65
"421...12" "1" 420 4199.66666666667 289.71609265229 69.9281993404565 294.619032054576 70.7553981083348 -10.2773342852121 92.356657269726 -2.28174409145311 91.945648476875 366.277777777778 "2" "Sti" "4" "2" "9" "CT" 65
"422...13" "1" 421 4210 363.02436473665 75.7902381245254 364.029248528674 75.1840226077404 -5.29450996029453 47.5788009073192 -6.53610122719726 46.3212929360952 369.333333333333 "2" "Sti" "4" "2" "9" "CT" 65
"423" "1" 422 4220 393.635588414355 72.0370079155206 392.781282134798 70.3739691032264 -1.51039707286056 14.0379792621851 -3.04306018268647 12.7480360013223 299.227272727273 "2" "Sti" "4" "2" "9" "CT" 65
"713" "1" 716 7160 385.280460186631 106.096476786238 385.329011727366 105.441290936148 1.17623981674837 10.5702096095819 0.73360325950938 9.30809122971027 255.136363636364 "3" "Sti" "4" "2" "9" "CT" 65
"714" "1" 717 7170 380.103681895467 103.714779985377 379.384223539018 103.801510007109 0.552998749931257 4.96949058974138 -0.389841186998865 5.10166018821076 349.222222222222 "3" "Sti" "4" "2" "9" "CT" 65
"715...17" "1" 718 7179.8 374.946953841441 104.334092203454 374.94208930255 103.961182108352 0.292545869986992 2.62894617419801 0.584691219633612 2.57164988842868 328.2 "3" "Sti" "4" "2" "9" "CT" 65
"716...18" "1" 719 7190 372.405974809123 100.15148660027 372.265626538492 99.9908724358553 0.388568884738231 3.49185132229138 -0.226883591506237 4.96392886679189 206.944444444444 "3" "Sti" "4" "2" "9" "CT" 65
"717...19" "1" 720 7200 372.261800545388 100.337637940409 372.917319326007 100.57228315459 -0.841002689204686 8.52654284815844 2.12662607465188 10.0106942678347 266.772727272727 "3" "Sti" "4" "2" "9" "CT" 65
"718...20" "1" 721 7210 386.304335109363 94.8804987728239 386.542237461634 93.1408033920908 -1.50905874554164 13.5610672470206 -1.52338731502232 8.92718219686299 267.222222222222 "3" "Sti" "4" "2" "9" "CT" 65
"719...21" "1" 722 7220 396.587931649682 82.5292110112782 397.143278953068 83.082013322382 -1.02193836889798 9.18358876609665 -0.0545882874256449 9.21861785738747 299.954545454545 "3" "Sti" "4" "2" "9" "CT" 65
