"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond"
"3310" 2 622 6219 271.063143041106 196.566097626478 -63.5087065191428 63.5087065191428 7.01940896876096 53.1792082285758 396.3 3 "Sti" "P2"
"917" 1 916 9160 137.56152727301 91.9031388640364 -27.3849416837753 27.3849416837753 6.21586198956848 18.2006066371796 498.227272727273 4 "Sti" "P2"
"918" 1 917 9170 192.61913318036 80.6512982781288 -47.8238406581893 47.8238406581893 -3.83771518606196 46.2723976385298 503.5 4 "Sti" "P2"
"919" 1 918 9180 213.485620887453 91.4351291172004 -9.55651661342156 9.55651661342156 -0.932616230439976 7.18231776441863 348.954545454545 4 "Sti" "P2"
"920" 1 919 9190 237.722124755179 73.5790091481124 -47.1827712573076 47.1827712573076 4.82775215103908 39.7888610170889 482.055555555556 4 "Sti" "P2"
"921" 1 920 9200 302.481569853841 68.0875915441406 -70.8450650197996 70.8450650197996 1.05266048302485 69.4471794352272 484.15 4 "Sti" "P2"
"922" 1 921 9210.25 358.080564256212 77.4250259790793 -36.0110591705551 36.0110591705551 -5.45193347731851 36.6731678887087 508.875 4 "Sti" "P2"
"923" 1 922 9220 378.503359122795 74.419192619505 -7.18140864813591 7.18140864813591 -1.86088896602848 6.47169334809621 519.409090909091 4 "Sti" "P2"
"3408" 2 916 9160 218.139640289226 183.547100611784 9.33190937440196 9.97547693880614 -1.70081318059655 7.50452870977028 407.636363636364 4 "Sti" "P2"
"3409" 2 917 9170 216.743466866723 182.243552378151 -27.5366631690594 27.6278710091309 6.25736894298564 20.5985449819966 388.666666666667 4 "Sti" "P2"
"3410" 2 918 9180 258.835671099715 176.946274624213 -22.1025866233274 23.8359048513261 -5.74248498750509 15.783134546007 431.136363636364 4 "Sti" "P2"
"3411" 2 919 9190 258.038114257263 176.44393862225 6.64086155502815 6.64086155502815 -0.439462271214865 4.15409203957347 435.944444444444 4 "Sti" "P2"
"3412" 2 920 9200 249.821200372255 179.494434024664 8.76192582977879 8.76192582977879 0.0304822287216098 5.08741668323802 416.409090909091 4 "Sti" "P2"
"3413" 2 921 9210.25 247.308116547268 184.719488761965 -17.6811830547262 19.2427486549041 5.28203287507435 19.8764001075015 380.8125 4 "Sti" "P2"
"3414" 2 922 9215.5 265.720115976993 195.87535457484 -9.69271870923404 9.69271870923404 0.533769518766746 7.79666798215175 325.75 4 "Sti" "P2"
"1217" 1 1216 12160 71.2211741790872 75.8803426800772 -71.4741548785656 71.4741548785656 5.13998713892623 66.9597624789223 432.181818181818 5 "Sti" "P2"
"1218" 1 1217 12170 138.704087239004 83.1675134087345 -44.6437378876797 44.6437378876797 -2.98541742713583 36.4849786055181 405.722222222222 5 "Sti" "P2"
"1219" 1 1218 12180 164.292142447129 76.5470993458904 -10.0565586601841 10.0565586601841 -3.58265868005626 5.14150943549203 418.863636363636 5 "Sti" "P2"
"1220" 1 1219 12190 170.509052632438 71.1438367653432 -22.3335694280825 22.3335694280825 4.8300965513171 24.1364098537989 441.722222222222 5 "Sti" "P2"
"1221" 1 1220 12200 224.059340784169 86.5250305369939 -62.302357082781 62.302357082781 -0.226192864035141 59.2274001092292 424.363636363636 5 "Sti" "P2"
"1222" 1 1221 12210 272.026990829358 81.9566105233421 -37.9444049199873 37.9444049199873 -1.70305057158635 33.5771523404146 521.111111111111 5 "Sti" "P2"
"1223" 1 1222 12220 300.665710053055 64.6971025799326 -17.8995893015978 17.8995893015978 -2.13100639636747 14.2756072277384 549.772727272727 5 "Sti" "P2"
"3538" 2 1216 12160 365.45840106145 159.185412778764 0.122325544081264 0.456326537841278 -0.128862204549876 0.464386127719763 438.318181818182 5 "Sti" "P2"
"3539" 2 1217 12170 365.140343704392 159.420743906869 -6.91759549166153 7.64814134557292 0.749418643956233 9.14502611944715 434.222222222222 5 "Sti" "P2"
"3540" 2 1218 12180 373.434083300341 169.486542495486 1.26238238480499 5.8533233304932 -0.315735160770714 7.75687833950821 354.909090909091 5 "Sti" "P2"
"3541" 2 1219 12190 372.500071259507 163.111329458327 -0.116039262767458 2.73616021674854 -0.668376364538688 2.21355872327081 356.333333333333 5 "Sti" "P2"
"3542" 2 1220 12200 375.069495085514 166.486846249099 -6.22202787090924 6.92798898678956 0.010223231581449 10.1563032526257 365.5 5 "Sti" "P2"
"3543" 2 1221 12210 373.922250399183 169.930174857695 5.5870431675491 5.5870431675491 -0.177962938978396 6.58808318725482 385.333333333333 5 "Sti" "P2"
"3544" 2 1222 12220 374.683282253488 173.304976320807 -5.35436879822987 5.86517399185379 0.693556046703918 11.5156626032435 380.363636363636 5 "Sti" "P2"
"1517" 1 1516 15160 70.2122071449337 51.942979985622 -78.0640844091288 78.0640844091288 7.20974750415687 65.7461003246438 468.636363636364 6 "Sti" "P2"
"1518" 1 1517 15170 143.601573329612 72.488345206775 -32.8982962748177 32.8982962748177 -7.0641843910149 38.6527682701583 515.722222222222 6 "Sti" "P2"
"1519" 1 1518 15180 158.946026979442 82.4011640805552 -21.0655817505898 21.0655817505898 1.66621238278796 15.4407805578618 491.227272727273 6 "Sti" "P2"
"1520" 1 1519 15190 189.533261962526 55.7512438910867 -25.9738695821426 25.9738695821426 -1.28034668544643 17.7107448032793 461 6 "Sti" "P2"
"1521" 1 1520 15200 206.324740436819 50.3240328568367 -19.1105511551013 19.1105511551013 2.17835521340754 20.0393228342599 462.272727272727 6 "Sti" "P2"
"1522" 1 1521 15209.875 245.735155350161 65.7051829536969 -63.0987270373748 63.0987270373748 3.86756988631305 64.1035155565311 448.1875 6 "Sti" "P2"
"1523" 1 1522 15219.9 315.648355342408 70.1403326651417 -56.9061766656076 56.9061766656076 -3.61945833503989 56.8742245541213 457.7 6 "Sti" "P2"
"3838" 2 1516 15160 47.7756686199387 180.737244332303 -36.3364629772373 36.3364629772373 5.35122083014762 10.1253954795137 357.681818181818 6 "Sti" "P2"
"3839" 2 1517 15170 95.2655959455313 160.960424817441 -25.3212042888821 25.3212042888821 -5.35117332011147 5.33372429362967 336.5 6 "Sti" "P2"
"3840" 2 1518 15180 100.307787168339 156.009549513002 1.25474211805853 2.10356390565674 -0.678516837677677 0.567812332748503 340.545454545455 6 "Sti" "P2"
"3841" 2 1519 15190 95.8916522962495 157.256048659877 5.30590374957302 5.95103772134206 0.765787560129283 4.65292721679728 311.277777777778 6 "Sti" "P2"
"3842" 2 1520 15200 104.156623076664 166.620521494908 -31.9357198902949 31.9357198902949 3.61111733573655 30.1482271281339 317.5 6 "Sti" "P2"
"3843" 2 1521 15210 145.137314175728 169.325189727547 -35.9184551273541 35.9184551273541 0.739167977806616 23.9849707044617 394.222222222222 6 "Sti" "P2"
"3844" 2 1522 15220 183.57276204737 183.543889488717 -50.6762070514206 50.6762070514206 -0.335924769078105 46.8872203965901 384.909090909091 6 "Sti" "P2"
"3845" 2 1523 15228 225.864350750565 192.032740337687 -32.1534042849479 32.1534042849479 0.921819189240551 27.0946036695893 372.2 6 "Sti" "P2"
