"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond"
"8593" 3 599 5990 392.2692 283.811 -0.6050825 1.779196 -0.8574253 5.7418 211.2778 2 "Sti" "GC"
"8594" 3 600 5999.667 391.3595 297.975 1.978085 1.978085 0.2121894 8.140291 253.8889 2 "Sti" "GC"
"12775" 4 594 5940 44.45658 447.5326 -48.29495 48.29495 8.976696 14.97358 278.7727 2 "Sti" "GC"
"12776" 4 595 5950 118.7581 428.322 -58.93857 58.93857 -5.550597 21.82587 280.2778 2 "Sti" "GC"
"12777" 4 596 5960 145.2435 404.3361 -12.71694 13.85094 -0.3713318 10.17706 307.6818 2 "Sti" "GC"
"12778" 4 597 5970 178.8066 413.4222 -58.8729 58.8729 3.174827 34.05628 294.1667 2 "Sti" "GC"
"12779" 4 598 5980 234.0154 430.2971 -34.48263 34.48263 -4.144593 36.21329 295.4545 2 "Sti" "GC"
"12780" 4 599 5990 261.397 441.7485 -31.71586 31.71586 2.677852 9.446959 248.5556 2 "Sti" "GC"
"12781" 4 600 5999.667 302.0057 421.9034 -55.20747 55.20747 1.694258 11.58644 257.7778 2 "Sti" "GC"
"16962" 5 594 5940 388.003 577.0278 2.772659 2.772659 0.1153787 0.4892245 335.7273 2 "Sti" "GC"
"16963" 5 595 5950 385.8514 578.7344 1.522027 1.522027 0.1457463 0.5837263 335.8889 2 "Sti" "GC"
"16964" 5 596 5960 384.6955 580.3473 0.9384492 0.9384492 0.04759655 0.5861 336.1364 2 "Sti" "GC"
"16965" 5 597 5970 384.0835 581.2061 0.3230463 0.3230463 0.02422632 0.2848482 336.8333 2 "Sti" "GC"
"16966" 5 598 5980 383.5216 581.2483 0.5627597 0.6115329 0.03355766 0.4404708 333.5909 2 "Sti" "GC"
"16967" 5 599 5990 383.4365 581.2453 -0.1828098 0.2423163 0.05724498 0.2057718 330.6667 2 "Sti" "GC"
"16968" 5 600 5999.667 383.9575 581.3501 -0.6631479 0.6631479 -0.03006902 0.4264739 335.2222 2 "Sti" "GC"
"895" 1 894 8940 392.248538353255 50.447802611856 2.92059047173632 4.65101438061799 -1.02651687787471 4.04504496721961 178.136363636364 3 "Sti" "GC"
"896" 1 895 8950 386.516883197993 54.4651270017117 6.40722225360219 6.40722225360219 -0.194655747491993 6.12153690804155 196.944444444444 3 "Sti" "GC"
"897" 1 896 8960 379.234124774255 56.3431184772244 6.93134188828691 6.93134188828691 0.329336793646519 6.38495562658517 237.227272727273 3 "Sti" "GC"
"898" 1 897 8970 374.325624000457 59.7607893982796 3.52343128821087 3.52343128821087 0.0529935259939407 3.05343404527684 277.944444444444 3 "Sti" "GC"
"899" 1 898 8980 371.531328238105 62.1711985308491 2.0416288918272 2.0416288918272 0.137605112485915 1.64076881475739 293.818181818182 3 "Sti" "GC"
"900" 1 899 8990 369.165248534191 63.796465716601 4.32108981863325 4.32108981863325 -0.479490889414706 4.05574413316754 294.5 3 "Sti" "GC"
"901" 1 900 9000 364.909452307113 72.0252286623839 0.307190766286396 2.92146110793118 1.58731614972572 3.49367787930606 259.545454545455 3 "Sti" "GC"
"5050" 2 894 8938.875 59.81589 166.9601 -34.14642 34.14642 3.130546 34.83329 303.4375 3 "Sti" "GC"
"5051" 2 895 8950 98.09395 192.2754 -21.71231 21.71231 -4.382927 26.7146 285.8333 3 "Sti" "GC"
"5052" 2 896 8960 109.6258 204.1345 -23.52427 23.52427 3.812515 15.0788 268 3 "Sti" "GC"
"5053" 2 897 8970 141.4714 198.9098 -37.21411 37.21411 0.1059264 19.66424 308.1111 3 "Sti" "GC"
"5054" 2 898 8980.333 189.507 197.7264 -54.18626 54.18626 1.915091 32.12424 325.7778 3 "Sti" "GC"
"5055" 2 899 8989.286 238.2185 190.4892 -41.82342 41.82342 -1.350686 24.89436 352.6429 3 "Sti" "GC"
"5056" 2 900 8999.889 285.0019 166.2471 -43.08577 43.08577 -0.3680051 25.95017 331.3333 3 "Sti" "GC"
"8888" 3 894 8940 38.37072 305.3814 -12.54803 12.54803 0.9674296 42.87483 262.2273 3 "Sti" "GC"
"8889" 3 895 8950 50.11739 271.3538 -5.388217 5.388217 -1.102987 6.972825 320.6667 3 "Sti" "GC"
"8890" 3 896 8960 53.96775 270.221 -1.029301 4.296868 -1.0082 2.073529 279.4091 3 "Sti" "GC"
"8891" 3 897 8970 50.03776 275.9215 -9.795963 14.6473 4.225664 12.8504 289.3333 3 "Sti" "GC"
"8892" 3 898 8979.778 78.76214 289.9334 -30.77226 30.77226 0.703028 29.09859 293.1111 3 "Sti" "GC"
"8893" 3 899 8990 113.6175 319.5815 -43.81281 43.81281 2.389064 35.24929 292.375 3 "Sti" "GC"
"8894" 3 900 9000 159.2312 328.3483 -40.08315 40.08315 -3.418449 13.1851 305.5455 3 "Sti" "GC"
"13075" 4 894 8940 61.1301 449.8798 -15.93553 21.07252 6.352236 9.184394 316.1818 3 "Sti" "GC"
"13076" 4 895 8950 119.2478 433.3424 -87.57576 87.57576 5.158163 12.37296 215.7778 3 "Sti" "GC"
"13077" 4 896 8960 222.322 419.7864 -113.1623 113.1623 -1.009523 45.47674 223 3 "Sti" "GC"
"13078" 4 897 8970 329.5604 434.7983 -88.06805 88.06805 -2.542164 80.96146 208.7222 3 "Sti" "GC"
"13079" 4 898 8980 384.7548 466.3018 -11.44043 24.67634 -9.07348 25.68218 260.5 3 "Sti" "GC"
"13080" 4 899 8990 375.1746 462.9707 7.075829 7.075829 0.9731355 7.537688 324.5556 3 "Sti" "GC"
"13081" 4 900 9000 371.5038 459.6941 -6.194984 10.88844 2.682752 5.163873 273.1364 3 "Sti" "GC"
"17262" 5 894 8940 378.8028 555.225 2.010111 2.010111 -0.07885753 3.16415 339.5 3 "Sti" "GC"
"17263" 5 895 8950 376.8641 559.0736 1.632592 1.632592 0.05714594 1.361339 343.3889 3 "Sti" "GC"
"17264" 5 896 8960 375.7471 561.4164 0.1268371 0.9148292 0.5284936 1.662387 336.3182 3 "Sti" "GC"
"17265" 5 897 8970 381.9746 552.7671 -14.54741 14.54741 1.345347 12.28742 254.3333 3 "Sti" "GC"
"17266" 5 898 8980 392.9399 529.575 -0.3897018 5.130984 -2.128154 5.255705 266.5909 3 "Sti" "GC"
"17267" 5 899 8990 389.3864 534.2707 2.830114 2.830114 0.08718083 2.530452 281.7778 3 "Sti" "GC"
"17268" 5 900 9000 389.2745 536.1426 -5.28775 6.576323 0.9338555 6.925182 252.9091 3 "Sti" "GC"
"1195" 1 1194 11940 154.566641401801 86.6185473196578 -23.4419512682563 23.4419512682563 -1.79415203872455 25.564266717007 236.545454545455 4 "Sti" "GC"
"1196" 1 1195 11950 170.814429849023 87.1949941572785 -14.7409200928019 14.7409200928019 0.0797762275072103 10.4476192251001 229.777777777778 4 "Sti" "GC"
"1197" 1 1196 11960 178.163771036699 84.9867066878625 -7.90240208793145 9.24674815891385 1.73027853978556 8.32011339642935 250.136363636364 4 "Sti" "GC"
"1198" 1 1197 11970 199.383893452344 79.6796353461358 -25.6614873436574 25.6614873436574 -0.745923487905827 21.8640943734233 245.833333333333 4 "Sti" "GC"
"1199" 1 1198 11980 221.569864629574 83.0191506660512 -25.3550712861185 25.3550712861185 0.222842872312697 26.328586326949 255.954545454545 4 "Sti" "GC"
"1200" 1 1199 11990 243.788760208533 92.061849472103 -5.59837004315409 8.78062246409064 -2.91048165773137 9.65246865046362 259.222222222222 4 "Sti" "GC"
"1201" 1 1200 12000 236.922318460302 92.9058922873246 11.9739737959358 11.9739737959358 -0.122493884889991 11.3803753816628 227.227272727273 4 "Sti" "GC"
"5310" 2 1194 11940 320.4315 155.9076 57.32647 57.32647 -0.0704299 48.36736 250 4 "Sti" "GC"
"5311" 2 1195 11950 281.7696 158.6291 12.92669 15.50995 5.801066 13.40584 286.0556 4 "Sti" "GC"
"5312" 2 1196 11960 297.4441 172.6305 -40.3446 40.3446 1.650784 34.58068 309.2727 4 "Sti" "GC"
"5313" 2 1197 11970 328.6783 169.9248 -11.24601 11.62496 -1.068141 10.44842 226.3889 4 "Sti" "GC"
"5314" 2 1198 11980.2 342.8821 163.859 -26.53231 26.53231 0.8955463 22.99372 318.2 4 "Sti" "GC"
"5315" 2 1199 11990 371.5966 164.9542 -22.79474 22.79474 -1.580102 19.31263 248.6111 4 "Sti" "GC"
"5316" 2 1200 12000 385.5362 158.2053 -6.356432 6.356432 -1.009257 4.289692 193.6364 4 "Sti" "GC"
"9188" 3 1194 11940 82.16481 275.9208 -38.60178 38.60178 0.7244733 19.3427 294.9545 4 "Sti" "GC"
"9189" 3 1195 11950 118.6844 288.9822 -23.11628 23.11628 -1.372286 10.47036 210.6667 4 "Sti" "GC"
"9190" 3 1196 11960 141.3911 282.913 -36.99582 36.99582 1.260854 11.60213 265 4 "Sti" "GC"
"9191" 3 1197 11970 178.4984 274.7421 -22.38316 22.38316 -1.562834 5.491886 147.6111 4 "Sti" "GC"
"9192" 3 1198 11980 195.7517 275.9207 -20.51512 20.51512 -0.1272367 18.1456 215.6364 4 "Sti" "GC"
"9193" 3 1199 11990 215.9632 278.5971 -14.91343 14.91343 -1.050641 7.70881 197.4444 4 "Sti" "GC"
"9194" 3 1200 12000 227.3222 278.7121 -18.67956 18.67956 2.470206 11.59595 211.2273 4 "Sti" "GC"
"13375" 4 1194 11940 116.625 399.8888 -54.90396 54.90396 4.339569 21.71818 268.6818 4 "Sti" "GC"
"13376" 4 1195 11950 163.0246 414.0746 -17.04839 17.04839 -4.465941 18.55551 287.3333 4 "Sti" "GC"
"13377" 4 1196 11960 175.1064 420.5206 -29.79868 29.79868 5.779521 8.086774 249.9091 4 "Sti" "GC"
"13378" 4 1197 11970 228.4616 414.5186 -59.5002 59.5002 -1.661931 34.66365 237.6111 4 "Sti" "GC"
"13379" 4 1198 11980 266.952 430.1911 -23.86307 23.86307 -2.077458 20.71204 278.2273 4 "Sti" "GC"
"13380" 4 1199 11990 292.8137 429.2717 -20.41116 20.41116 -0.8370562 7.951949 146.2778 4 "Sti" "GC"
"13381" 4 1200 12000 311.1101 411.0224 -19.18857 19.18857 -0.6669914 8.359279 279.6818 4 "Sti" "GC"
"17562" 5 1194 11940 382.8743 518.3024 -0.01539257 0.426214 0.06783039 0.4109861 317.0455 4 "Sti" "GC"
"17563" 5 1195 11950 383.1914 518.4393 -0.03023652 0.2278448 -0.06545636 0.3172599 311.6111 4 "Sti" "GC"
"17564" 5 1196 11960 382.6382 519.001 0.7235003 0.7235003 -0.0103665 0.223918 324 4 "Sti" "GC"
"17565" 5 1197 11970 382.8018 518.703 -0.7420513 0.7420513 0.06536994 0.2225788 323.6667 4 "Sti" "GC"
"17566" 5 1198 11980 383.3883 518.9833 -0.5242173 0.527216 -0.04611492 0.7541068 325.1818 4 "Sti" "GC"
"17567" 5 1199 11990 383.5915 519.4974 -0.03577056 0.1665965 0.04253285 0.4879912 324.1111 4 "Sti" "GC"
"17568" 5 1200 12000 384.0383 520.37 -0.7336034 0.7336034 0.02535948 1.300737 334.1364 4 "Sti" "GC"
"1494" 1 1494 14940 348.624333410175 83.8026749786662 3.18866076473279 3.18866076473279 0.635650171130578 8.41976195969266 222.909090909091 5 "Sti" "GC"
"1495" 1 1495 14950 345.673456328543 63.1092867785348 -5.97621462868966 9.16321762204535 3.12689622898569 8.74747331481115 166.944444444444 5 "Sti" "GC"
"1496" 1 1496 14960 376.698773234821 45.0345455388644 -36.097798112098 36.097798112098 -2.66517189738482 34.0605086482643 167 5 "Sti" "GC"
"1497" 1 1497 14970 388.657201147611 43.2274563252214 3.50161825478398 3.50161825478398 -0.915649272516077 3.2246408212913 156.777777777778 5 "Sti" "GC"
"1498" 1 1498 14980 383.38384027031 45.209741706565 4.58072802560196 4.58072802560196 0.258103972290598 4.38191568485036 205.227272727273 5 "Sti" "GC"
"1499" 1 1499 14990 380.40220404885 45.927511458104 2.36221549271437 2.36221549271437 0.00409653934337939 2.32645034839049 230.111111111111 5 "Sti" "GC"
"1500" 1 1500 15000 377.429343436489 45.6923319575673 3.07502433577741 3.07502433577741 0.123903709967863 3.12506372228393 253.863636363636 5 "Sti" "GC"
"5579" 2 1494 14940 35.77543 215.4715 -1.800259 10.53345 -1.011039 1.710642 323.4091 5 "Sti" "GC"
"5580" 2 1495 14950 29.6986 215.9174 -7.827422 11.28541 3.529183 1.497399 279.5556 5 "Sti" "GC"
"5581" 2 1496 14960 47.78467 211.1526 -16.21116 16.21116 -0.678289 6.979689 289.9545 5 "Sti" "GC"
"5582" 2 1497 14970 67.87735 217.3614 -27.57621 27.57621 1.931394 12.01111 215.5556 5 "Sti" "GC"
"5583" 2 1498 14980 109.2834 217.2481 -38.7739 38.7739 -2.426529 17.35095 274.3636 5 "Sti" "GC"
"5584" 2 1499 14990 121.1349 215.6348 -2.985774 6.023285 -0.3572865 4.240177 295.3333 5 "Sti" "GC"
"5585" 2 1500 15000 135.0159 206.7194 -27.0583 27.0583 3.372673 15.6159 283.8182 5 "Sti" "GC"
"9487" 3 1494 14940 280.3633 337.1538 -47.01509 47.01509 -1.087328 37.14845 199.4091 5 "Sti" "GC"
"9488" 3 1495 14950 324.0725 334.7003 -36.59224 36.59224 -0.7877519 18.83029 249.3333 5 "Sti" "GC"
"9489" 3 1496 14960 354.5775 331.9322 -34.84209 34.84209 0.9713023 27.06196 280.1818 5 "Sti" "GC"
"9490" 3 1497 14970 384.7058 331.4664 -9.104204 11.10101 -4.135816 7.481584 270.3889 5 "Sti" "GC"
"9491" 3 1498 14980 386.2691 331.7806 -9.335166 9.436981 0.965248 6.823227 260.7727 5 "Sti" "GC"
"9492" 3 1499 14990 394.5311 334.7261 -1.505531 2.304961 -0.7769694 4.061562 171.0556 5 "Sti" "GC"
"9493" 3 1500 15000 394.0517 329.5275 0.2462882 0.740343 0.009066724 6.921048 256.7727 5 "Sti" "GC"
"13674" 4 1494 14940 178.0655 425.7363 -6.613288 19.19491 6.233687 22.41534 273.4545 5 "Sti" "GC"
"13675" 4 1495 14950 217.9004 438.653 -46.68807 46.68807 -1.745094 17.57082 215.7778 5 "Sti" "GC"
"13676" 4 1496 14960 253.7623 427.868 -38.70786 38.70786 1.789109 17.33641 244.8636 5 "Sti" "GC"
"13677" 4 1497 14970 291.7861 426.9155 -27.86892 27.86892 -2.923492 10.03002 253.4444 5 "Sti" "GC"
"13678" 4 1498 14980 311.2164 416.2318 -23.2754 23.2754 1.382006 11.30631 249.8182 5 "Sti" "GC"
"13679" 4 1499 14990 348.2916 416.0677 -37.0499 37.0499 -0.2326303 20.25681 240.6667 5 "Sti" "GC"
"13680" 4 1500 15000 374.7343 407.4774 -15.8772 15.8772 -2.352347 6.421398 148.8636 5 "Sti" "GC"
"17861" 5 1494 14940 382.5288 575.5239 -0.8882609 2.365707 -0.7642172 6.762573 271.3182 5 "Sti" "GC"
"17862" 5 1495 14950 380.7183 569.2294 2.118732 2.118732 0.05451837 4.535256 308.3333 5 "Sti" "GC"
"17863" 5 1496 14960 386.9513 572.7053 -13.37747 13.37747 0.6425911 17.25677 243.1818 5 "Sti" "GC"
"17864" 5 1497 14970 390.3819 579.1553 4.54492 4.54492 -0.8197317 2.876705 189.1667 5 "Sti" "GC"
"17865" 5 1498 14980 389.2717 572.7677 -4.054224 5.282421 1.165742 12.64015 234.8182 5 "Sti" "GC"
"17866" 5 1499 14990 394.0611 553.7742 -0.2036303 2.44543 -1.24426 6.303858 230.4444 5 "Sti" "GC"
"17867" 5 1500 15000 391.0979 553.6417 1.931506 2.196949 0.3649084 4.734895 236.7727 5 "Sti" "GC"
"1794" 1 1794 17940 381.477318788774 80.1192139184823 7.05040892564085 7.05040892564085 0.277933968777631 7.14839944066125 256.045454545455 6 "Sti" "GC"
"1795" 1 1795 17950 375.014500145903 84.7612468162934 2.98033719432851 2.98520961469364 0.581362705570882 2.13579071097939 286.611111111111 6 "Sti" "GC"
"1796" 1 1796 17960 374.011836720148 85.7090248342127 1.43959742203697 1.54975064538291 0.142361486745529 1.53279581607615 284.818181818182 6 "Sti" "GC"
"1797" 1 1797 17970 378.012255527794 91.569205348444 -13.8124458812948 13.8124458812948 1.68721527204474 15.6764170609062 209.333333333333 6 "Sti" "GC"
"1798" 1 1798 17980 387.968052695168 93.169158998254 5.76528977115993 10.6541960439926 -2.88229799618716 11.4957170632983 187.318181818182 6 "Sti" "GC"
"1799" 1 1799 17990 378.28664215889 91.4827056510314 4.38364581379619 4.38364581379619 0.822723510621586 4.01931207141405 218.666666666667 6 "Sti" "GC"
"1800" 1 1800 18000 376.853852920346 91.422217464476 -5.75757398146578 7.74761578443821 2.27932289155211 7.41413980906106 226.5 6 "Sti" "GC"
"5861" 2 1794 17939 324.6761 203.6581 -35.55799 35.55799 6.37776 28.02251 315.8333 6 "Sti" "GC"
"5862" 2 1795 17950 373.8889 198.2795 -20.34161 22.67438 -6.554406 19.27402 375.0556 6 "Sti" "GC"
"5863" 2 1796 17959.8 369.2898 194.972 7.075055 7.075055 0.2344101 6.815599 377.25 6 "Sti" "GC"
"5864" 2 1797 17969.5 365.6498 199.0084 -1.957188 2.60025 0.8630385 3.293625 368.375 6 "Sti" "GC"
"5865" 2 1798 17981.12 369.4612 199.6277 -4.140329 4.140329 0.294415 5.05797 374.6875 6 "Sti" "GC"
"5866" 2 1799 17989 374.4201 204.0105 -3.487202 3.487202 -0.5042035 5.974014 378.5 6 "Sti" "GC"
"5867" 2 1800 17999 374.8488 211.505 0.4879384 0.6438644 -0.5594376 1.212196 327.3333 6 "Sti" "GC"
"9787" 3 1794 17941 193.2471 322.3861 -59.49024 59.49024 3.17293 30.63376 316.8333 6 "Sti" "GC"
"9788" 3 1795 17950 257.6935 309.7971 -57.9474 57.9474 -1.583015 28.57714 321.9375 6 "Sti" "GC"
"9789" 3 1796 17959.5 317.7385 299.824 -69.78518 69.78518 1.079657 42.66607 301.3 6 "Sti" "GC"
"9790" 3 1797 17970.5 378.3277 288.4244 -31.82189 31.82189 -5.100443 22.44781 291.5833 6 "Sti" "GC"
"9791" 3 1798 17980 392.9901 286.1429 -5.090827 7.169559 -3.060551 5.147241 217.6818 6 "Sti" "GC"
"9792" 3 1799 17990 390.6692 294.9845 2.947032 3.141167 0.4016219 5.869741 315.7778 6 "Sti" "GC"
"9793" 3 1800 18000 388.9162 298.0965 2.437658 3.00071 -0.6356028 11.2553 240.5455 6 "Sti" "GC"
"13974" 4 1794 17940 153.3109 402.6634 -15.61199 21.16457 4.582347 4.824901 246.7727 6 "Sti" "GC"
"13975" 4 1795 17950 186.4273 402.4777 -20.85459 20.85459 -3.627401 20.70066 286.3889 6 "Sti" "GC"
"13976" 4 1796 17960 200.0892 417.7913 -38.57677 38.57677 6.799286 18.55431 297.2727 6 "Sti" "GC"
"13977" 4 1797 17970 255.154 409.4746 -48.44292 48.44292 -2.256744 21.40422 286.7222 6 "Sti" "GC"
"13978" 4 1798 17980 301.2658 409.0999 -33.77642 33.77642 -3.815365 18.85728 291.5 6 "Sti" "GC"
"13979" 4 1799 17990 320.1267 408.5221 -17.174 17.174 0.8969134 7.942829 266.1667 6 "Sti" "GC"
"13980" 4 1800 18000 329.5861 402.2396 -6.436078 7.535458 -0.3817757 5.519026 179.8636 6 "Sti" "GC"
"18161" 5 1794 17940 383.4799 530.7041 2.270241 5.127775 1.438257 3.906029 320.9091 6 "Sti" "GC"
"18162" 5 1795 17950 388.8277 530.1903 -10.32844 10.32844 -0.5887516 5.18783 242 6 "Sti" "GC"
"18163" 5 1796 17960 391.904 538.9355 4.771115 4.771115 -0.8885875 7.255882 287.6364 6 "Sti" "GC"
"18164" 5 1797 17970 388.2422 547.7341 -1.251624 3.698355 0.9037361 9.590374 286.2222 6 "Sti" "GC"
"18165" 5 1798 17980 391.0442 558.8114 -2.288747 3.746512 -0.05113661 9.159658 277.4091 6 "Sti" "GC"
"18166" 5 1799 17990 392.9956 571.0473 2.162084 3.397875 -0.5565668 6.906131 194.7778 6 "Sti" "GC"
