"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond"
"295" 1 294 2940 384.533956658367 92.9033761508591 0.41268097376269 1.42146881659858 -0.293141222310055 1.19903881507685 290.227272727273 1 "Sti" "GC"
"296" 1 295 2950 382.692870706839 93.6773836971603 1.59467112441183 1.59467112441183 0.164245281585636 1.31419680323921 297.888888888889 1 "Sti" "GC"
"297" 1 296 2960 382.281017715861 95.1196840441851 -0.0793386343978568 0.262344445135511 -0.0239604799363633 0.458996077340601 298.909090909091 1 "Sti" "GC"
"298" 1 297 2970 382.13062419691 95.7394500540064 0.441686992411007 0.441686992411007 0.014020610515729 0.348276832497049 294.055555555556 1 "Sti" "GC"
"299" 1 298 2980 381.659559427897 95.993121124195 0.314992973700498 0.341201808336507 0.0304131042780114 0.367412297594569 294.636363636364 1 "Sti" "GC"
"300" 1 299 2990 381.605436862062 95.534654763268 -0.3329967994311 0.391874785356492 0.0373861884497728 0.347387380444616 289.333333333333 1 "Sti" "GC"
"301" 1 300 3000 381.855484680959 95.078615644152 -0.172063810777956 0.339442771549841 -0.0308732099291547 0.319660421193134 284.136363636364 1 "Sti" "GC"
"302" 1 301 3010 382.165653561877 94.4351280268425 -0.500066198434524 0.585104647972457 0.318444491865364 0.543407711852126 285.833333333333 1 "Sti" "GC"
"4473" 2 294 2940 21.57101 152.1012 -18.21952 18.34014 4.838141 4.837124 261.9091 1 "Sti" "GC"
"4474" 2 295 2950 74.53633 154.9104 -74.29712 74.29712 3.399345 35.72663 273.3889 1 "Sti" "GC"
"4475" 2 296 2960 140.9222 150.0668 -38.18911 38.18911 -6.318615 20.55271 204.5455 1 "Sti" "GC"
"4476" 2 297 2970 164.3972 158.4349 -32.28016 32.28016 1.723213 33.1699 294.6111 1 "Sti" "GC"
"4477" 2 298 2980.3 201.6967 157.7818 -34.129 34.129 -0.3042959 21.68746 306.5 1 "Sti" "GC"
"4478" 2 299 2990 232.8168 164.9801 -29.77586 29.77586 0.4265402 39.55416 312.5 1 "Sti" "GC"
"4479" 2 300 3000.1 266.0468 204.8523 -30.95124 30.95124 -3.176341 44.14688 319.4 1 "Sti" "GC"
"4480" 2 301 3010 277.8231 215.5239 -3.965636 5.625708 0.8626263 3.623983 326.8889 1 "Sti" "GC"
"8288" 3 294 2940 322.1397 299.3551 -57.04292 57.04292 -0.8513175 44.31524 309.05 1 "Sti" "GC"
"8289" 3 295 2950 362.5091 301.6708 -21.5157 21.5157 -4.297089 17.03671 290 1 "Sti" "GC"
"8290" 3 296 2960 375.906 301.5263 -13.82364 13.82364 0.09145868 14.83695 286.2273 1 "Sti" "GC"
"8291" 3 297 2970 383.608 313.2964 -4.331029 4.331029 -0.2944261 7.159554 302.2778 1 "Sti" "GC"
"8292" 3 298 2980 389.1691 307.3437 -0.5104495 4.838747 -1.025167 7.59028 203.8636 1 "Sti" "GC"
"8293" 3 299 2990 390.5701 292.6743 -6.856051 6.856051 0.8255017 3.808814 220.2222 1 "Sti" "GC"
"8294" 3 300 3000 393.2822 280.5226 2.471681 3.547331 -0.9202302 4.654882 145.6818 1 "Sti" "GC"
"8295" 3 301 3010 390.5557 286.8936 0.8389597 1.713111 0.6551334 6.055 264.4444 1 "Sti" "GC"
"12475" 4 294 2940 234.5892 395.0409 4.642107 4.642107 0.6412419 7.505155 227.9091 1 "Sti" "GC"
"12476" 4 295 2950 232.5398 399.3466 2.107278 2.107278 -0.1650404 1.681694 295.3333 1 "Sti" "GC"
"12477" 4 296 2960 231.7258 400.7451 -10.36467 12.95015 2.964106 4.244313 298.8636 1 "Sti" "GC"
"12478" 4 297 2970 252.4889 401.6243 -21.62777 21.62777 -0.4765502 21.89651 279.7778 1 "Sti" "GC"
"12479" 4 298 2980 285.3051 408.8501 -43.5886 43.5886 1.435725 18.93018 277.3636 1 "Sti" "GC"
"12480" 4 299 2990 320.7338 403.1855 -20.42215 20.42215 -3.366487 10.61692 271.5 1 "Sti" "GC"
"12481" 4 300 3000 326.9157 401.2284 1.831029 1.942727 -0.6064696 1.163577 226.2273 1 "Sti" "GC"
"12482" 4 301 3010 327.4687 400.7265 -9.535548 10.46116 2.154742 9.998471 229.6111 1 "Sti" "GC"
"16662" 5 294 2940 388.1673 552.3691 1.621666 1.979524 0.1967782 10.68656 304.7273 1 "Sti" "GC"
"16663" 5 295 2950 391.4311 553.2253 -6.739506 6.739506 0.2418659 15.98621 230.8333 1 "Sti" "GC"
"16664" 5 296 2960 392.5216 565.2441 3.781023 4.572993 -0.6512553 3.887045 235.9091 1 "Sti" "GC"
"16665" 5 297 2970 390.546 561.2609 -1.801118 2.683867 0.9680221 4.226444 261.2778 1 "Sti" "GC"
"16666" 5 298 2980 393.6868 557.5942 -0.5222751 3.264431 -0.8708963 3.12912 242.7727 1 "Sti" "GC"
"16667" 5 299 2990 392.0488 552.9417 0.3512768 1.674202 0.6608245 11.61857 215.3889 1 "Sti" "GC"
"16668" 5 300 3000 393.1619 539.5975 0.474795 2.412474 -0.8842189 3.893135 240.7273 1 "Sti" "GC"
"16669" 5 301 3010 390.1243 543.3725 2.911055 2.911055 0.2633754 2.737943 217.8889 1 "Sti" "GC"
"595" 1 594 5940 157.675550145152 22.1592450303516 42.5041026987446 42.5041026987446 0.918022478094002 42.0472413061415 225.181818181818 2 "Sti" "GC"
"596" 1 595 5950 124.194095818139 23.2966155058648 17.135168522243 17.135168522243 2.60704116799465 16.5994230157421 258.166666666667 2 "Sti" "GC"
"597" 1 596 5960 119.274054706043 27.4836984814895 1.57569957444336 2.75283559957266 0.0418023123781097 2.77564910802592 188.727272727273 2 "Sti" "GC"
"598" 1 597 5970 114.944321936132 33.7037862451291 6.63786079319823 6.63786079319823 -0.218582100879303 5.74505207415869 154.166666666667 2 "Sti" "GC"
"599" 1 598 5980 110.505354431365 28.775631727984 0.77738737749948 1.71434976440665 0.572761871404566 3.19369722599068 204.227272727273 2 "Sti" "GC"
"600" 1 599 5990 108.831725925536 29.7977501732048 1.26664656353962 2.75316543646979 0.353593221650016 2.11686867645417 249.888888888889 2 "Sti" "GC"
"601" 1 600 5999.66666666667 111.098360371345 34.2076773715194 -0.654189899681867 2.66304078280912 -0.448349381141469 4.07306021837331 238.333333333333 2 "Sti" "GC"
"4770" 2 594 5940 42.06391 159.9372 -21.03386 21.26954 5.499819 8.251229 342.7727 2 "Sti" "GC"
"4771" 2 595 5950 94.5804 166.1897 -63.89012 63.89012 0.05153766 60.66209 290.6111 2 "Sti" "GC"
"4772" 2 596 5960 139.1827 204.6653 -14.19746 16.83387 -6.044954 25.0599 352.6364 2 "Sti" "GC"
"4773" 2 597 5970 138.0635 211.3329 -1.721541 3.696737 0.9995137 1.55372 337.4444 2 "Sti" "GC"
"4774" 2 598 5980 142.8433 206.0738 -7.896566 7.896566 1.137426 6.293178 346.5 2 "Sti" "GC"
"4775" 2 599 5990 158.121 189.6602 -16.5172 16.5172 -0.7480121 10.25443 349.2778 2 "Sti" "GC"
"4776" 2 600 5999.667 168.8098 197.2075 -8.344352 8.344352 1.28317 7.105938 335.6111 2 "Sti" "GC"
"8588" 3 594 5940 382.4796 320.7926 -29.75175 29.75175 -5.284805 26.58992 266.9545 2 "Sti" "GC"
"8589" 3 595 5950 391.4075 329.9327 -0.2475626 1.743228 -0.6859514 3.992256 255.3889 2 "Sti" "GC"
"8590" 3 596 5960 391.7241 324.2039 -1.497729 1.647244 0.2288156 8.789359 250.9091 2 "Sti" "GC"
"8591" 3 597 5970 390.8487 307.4367 2.869206 2.869206 -0.4377336 9.775844 227.2222 2 "Sti" "GC"
"8592" 3 598 5980 389.2777 299.6508 -2.127006 4.244551 0.9711066 5.30718 246.1818 2 "Sti" "GC"
