"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "y2" "x2"
"430" 1 429 4290 228.0800900565 47.6379572660745 -4.96365664611191 43.8344651912434 -4.40703172566623 47.174302298445 281.111111111111 2 "Sti" "G2C" 4 7 25 37 NA NA
"431" 1 430 4300 253.499837034085 81.3614090131941 -1.90553597993693 16.8279469226857 -0.176593105311895 23.1474045395532 286.590909090909 2 "Sti" "G2C" 4 7 25 37 NA NA
"432" 1 431 4310 275.155065140949 92.4881602253495 -3.52924045380632 31.1670163457179 1.38263606177333 30.9832106819547 297.166666666667 2 "Sti" "G2C" 4 7 25 37 NA NA
"433" 1 432 4320 316.961370219196 86.1298569660481 -5.62872162618236 49.7077094136553 -0.347030148952399 45.3000687255684 250.954545454545 2 "Sti" "G2C" 4 7 25 37 NA NA
"727" 1 726 7260 31.3742952182889 70.1897833463897 -0.161948197150916 2.06891452975139 0.95088413829269 1.46640886050733 322.409090909091 3 "Sti" "G2C" 4 7 25 37 NA NA
"728" 1 727 7270 49.4447717942811 64.8256959427302 -5.7163919102978 50.4819329934379 7.17361575692734 22.0951268724282 306.722222222222 3 "Sti" "G2C" 4 7 25 37 NA NA
"729" 1 728 7280 123.471924734339 52.2171966170646 -8.58453632557468 75.810755170007 -1.38944033825025 74.3560672371999 324.318181818182 3 "Sti" "G2C" 4 7 25 37 NA NA
"730" 1 729 7290.5 184.215092825514 87.7966170847397 -5.23653972252354 46.2443183634234 -1.74053459315212 51.1668362950472 318.5625 3 "Sti" "G2C" 4 7 25 37 NA NA
"731" 1 730 7300 223.807384624975 87.4354277941097 -3.18515790962526 28.1283947445172 -3.20777888492063 22.5174867939081 293.045454545455 3 "Sti" "G2C" 4 7 25 37 NA NA
"732" 1 731 7310 251.939310990488 88.0014540203898 -5.6427073838771 49.8312188045241 4.94278989125502 51.5927085178537 224.222222222222 3 "Sti" "G2C" 4 7 25 37 NA NA
"733" 1 732 7320 319.065811915988 93.5104342379679 -7.01038177839563 61.9092652758565 -3.01962102998459 56.7219530854774 250.181818181818 3 "Sti" "G2C" 4 7 25 37 NA NA
"1027" 1 1026 10260 78.2951671229382 100.290223642011 1.07682126067979 9.50949822555367 1.75183367375277 5.0835323395911 298.772727272727 4 "Sti" "G2C" 4 7 25 37 NA NA
"1028" 1 1027 10270 79.4037045908469 100.149099363404 -2.92536210716933 25.8341163784852 6.69131561820738 10.0683952265494 279.722222222222 4 "Sti" "G2C" 4 7 25 37 NA NA
"1029" 1 1028 10280 152.979985648336 87.5149497577379 -10.9528705414468 96.7257118538454 0.668517221707347 82.4197964028178 318.5 4 "Sti" "G2C" 4 7 25 37 NA NA
"1030" 1 1029 10290 228.034071269415 92.2346883988602 -4.81654281551895 42.5352907023454 -5.74360160955169 39.0067011887684 304.722222222222 4 "Sti" "G2C" 4 7 25 37 NA NA
"1031" 1 1030 10300 255.656697932229 88.1762462683532 -4.55478452039993 40.2236814001787 4.73116432940651 37.3255602337449 302.636363636364 4 "Sti" "G2C" 4 7 25 37 NA NA
"1032" 1 1031 10310 307.089208847252 83.9324036435785 -5.20750177914728 45.9878818673275 -2.0404689050078 42.0009151995814 308.388888888889 4 "Sti" "G2C" 4 7 25 37 NA NA
"1033" 1 1032 10320 347.78137394119 83.3584500421935 -4.52806673489962 39.9877344114969 -0.347685131904939 39.1522481651914 333 4 "Sti" "G2C" 4 7 25 37 NA NA
"1327" 1 1326 13259.6 175.457604244433 84.2434149059599 3.02236200755286 26.6907305764568 -2.062545676962 31.1115639767301 324.1 5 "Sti" "G2C" 4 7 25 37 NA NA
"1328" 1 1327 13270 149.762897918138 62.6520211873605 1.33938476871108 14.937896715182 4.77416268526841 19.1700243936363 342.5 5 "Sti" "G2C" 4 7 25 37 NA NA
"1329" 1 1328 13280 177.250870245576 52.7621308168915 -8.57326881743871 75.7112508673544 6.97933941037073 70.3801983095166 325.272727272727 5 "Sti" "G2C" 4 7 25 37 NA NA
"1330" 1 1329 13290 251.666925625436 51.2420880993331 -5.81303777745517 51.3354206945072 -4.22528582046274 51.1574366188492 317.777777777778 5 "Sti" "G2C" 4 7 25 37 NA NA
"1331" 1 1330 13300 297.714546934183 59.8088530781799 -4.7162713684987 41.6497852035862 0.24138517624101 44.131934398606 299.318181818182 5 "Sti" "G2C" 4 7 25 37 NA NA
"1332" 1 1331 13310 339.737645321862 80.7396643410961 -4.44173825981113 39.2253604589707 -0.834117150468671 41.9431154920017 242.388888888889 5 "Sti" "G2C" 4 7 25 37 NA NA
"1333" 1 1332 13320 369.577870700064 91.4429069990204 -2.64714779525387 23.3771826216112 -2.40371779479324 23.2434072487205 203.363636363636 5 "Sti" "G2C" 4 7 25 37 NA NA
"1627" 1 1626 16260 374.01941395321 82.1452700095775 0.31513820034442 5.5805009017011 1.30585638136063 9.03843906608307 200.681818181818 6 "Sti" "G2C" 4 7 25 37 NA NA
"1628" 1 1627 16270 383.305424864971 47.7526224354642 -1.89124292560257 16.7017237696022 0.169686664202629 12.7494664824607 195.333333333333 6 "Sti" "G2C" 4 7 25 37 NA NA
"1629" 1 1628 16280 393.387536790249 33.6140025562613 -0.333755868732046 3.63013021536528 -1.22987025554954 3.30153761532944 191.045454545455 6 "Sti" "G2C" 4 7 25 37 NA NA
"1630" 1 1629 16290 393.705413010766 37.156468357705 0.0338499832627512 0.48884778968818 0.120741141697863 0.446069474385865 181.555555555556 6 "Sti" "G2C" 4 7 25 37 NA NA
"1631" 1 1630 16300 394.661637997375 40.7183872219509 -0.0749663434773354 1.45093994829017 -0.147989961048268 1.34787483251853 197.5 6 "Sti" "G2C" 4 7 25 37 NA NA
"1632" 1 1631 16310 390.630914568118 47.998188736609 0.984991582243017 8.69854268814504 -0.729214297418082 7.14352491335654 274.777777777778 6 "Sti" "G2C" 4 7 25 37 NA NA
"1633" 1 1632 16320 383.597343174241 53.8174733864392 0.271870518858014 2.40091119210308 0.811921492706119 2.99965794119936 332.363636363636 6 "Sti" "G2C" 4 7 25 37 NA NA
"1927...43" 1 1926 19260 120.754020298265 97.2541229451525 -1.1773550576124 10.3973205582362 -0.774970132302428 7.77334608032029 330.045454545455 7 "Sti" "G2C" 4 7 25 37 NA NA
"1928...44" 1 1927 19270 127.747312607551 93.3203495724926 -0.570138664480129 5.0349420244272 -0.118833365565123 2.01591025183009 291 7 "Sti" "G2C" 4 7 25 37 NA NA
"1929...45" 1 1928 19280 141.052839092678 86.3768534220612 -4.74664724727121 41.9180371185832 7.15881378411569 34.9152184835667 302.272727272727 7 "Sti" "G2C" 4 7 25 37 NA NA
"1930...46" 1 1929 19290 205.643828288423 78.836439469892 -7.51857170922466 66.3971328746185 -0.555172400845379 59.6025625745887 302.722222222222 7 "Sti" "G2C" 4 7 25 37 NA NA
"1931" 1 1930 19300 271.27753861495 82.0056844574877 -6.42814967139919 56.7675250534841 -3.33116808478917 56.5719856318497 317.681818181818 7 "Sti" "G2C" 4 7 25 37 NA NA
"1932" 1 1931 19310 306.183003526026 84.8010053937934 -2.73448938384605 24.1485034638558 -0.868161036815764 22.2131953835857 280.777777777778 7 "Sti" "G2C" 4 7 25 37 NA NA
"1933" 1 1932 19320 335.225761549983 82.0789528309438 -2.73286151010885 24.1341275753211 -1.94564376680358 24.1171471264093 256.590909090909 7 "Sti" "G2C" 4 7 25 37 NA NA
"2227" 1 2226 22260 76.052788687341 44.5971394302083 -0.00353159941587364 1.42188308361457 -0.208636987551188 3.53330890240261 323.363636363636 8 "Sti" "G2C" 4 7 25 37 NA NA
"2228" 1 2227 22270 76.3531757259201 42.7611919720026 -0.570794900380806 5.04538735990062 1.03012510881418 2.81773546750595 330.555555555556 8 "Sti" "G2C" 4 7 25 37 NA NA
"2229" 1 2228 22280 92.2901792052947 35.5025407459935 -4.82432502735694 42.6040160631518 6.40044979613022 38.9125890523357 275.636363636364 8 "Sti" "G2C" 4 7 25 37 NA NA
"2230" 1 2229 22290 158.696636513921 52.0609129383314 -7.62071298726876 67.2991510068599 -0.87967567407766 72.069884370797 212 8 "Sti" "G2C" 4 7 25 37 NA NA
"2231" 1 2230 22300 227.570993339787 76.9021046783081 -8.33299921237947 73.5894099765802 0.0534162997416274 77.9600304054246 235.272727272727 8 "Sti" "G2C" 4 7 25 37 NA NA
"2232" 1 2231 22310 284.756117887658 97.7110306737372 -3.43475103876604 30.3325724528736 -5.22523093163124 31.8545050263173 189 8 "Sti" "G2C" 4 7 25 37 NA NA
"2233" 1 2232 22320 304.791708777834 98.191747670564 -3.03374338584926 26.7912404759787 1.75533554148075 22.954354045181 177.136363636364 8 "Sti" "G2C" 4 7 25 37 NA NA
"2527" 1 2526 25260 33.728597152131 89.1203482861473 -0.982612243504196 9.43583601227778 3.61182478591952 2.59889618778648 336.090909090909 9 "Sti" "G2C" 4 7 25 37 NA NA
"2528" 1 2527 25270 68.5355807535679 79.4109835247018 -7.43267389448041 65.6385621194556 4.97439240664709 43.7997467402734 281.888888888889 9 "Sti" "G2C" 4 7 25 37 NA NA
"2529" 1 2528 25280 147.99711745763 93.8936367768829 -8.47806875084731 74.8705311514825 -1.63864783928369 65.1085943903301 248 9 "Sti" "G2C" 4 7 25 37 NA NA
"2530" 1 2529 25290 212.840641010554 90.1003050456891 -6.02970144868123 53.248795617812 -1.65293994986081 52.6423340865715 221.777777777778 9 "Sti" "G2C" 4 7 25 37 NA NA
"2531" 1 2530 25300 255.040834519884 103.622084435868 -2.79006684396938 24.6393126424282 -4.92444795109873 24.2372515361067 211.772727272727 9 "Sti" "G2C" 4 7 25 37 NA NA
"2532" 1 2531 25310 264.997464785133 102.455260884099 -2.15470614087288 19.0283893636025 3.48279450883604 17.5396628948058 200.055555555556 9 "Sti" "G2C" 4 7 25 37 NA NA
"2533" 1 2532 25320 298.816821281887 103.307773071162 -4.08156532471953 36.0446432757087 -0.832618350814073 34.8451126711173 181.954545454545 9 "Sti" "G2C" 4 7 25 37 NA NA
"2827" 1 2826 28260 334.719124967489 43.2521732800455 1.6382345846866 17.039598028838 2.78374870121939 16.8356889354326 338.545454545455 10 "Sti" "G2C" 4 7 25 37 NA NA
"2828" 1 2827 28270 336.64344436508 46.7218818530268 -1.14940465727729 10.1504882453021 -0.628370164592809 10.1539035676961 322.333333333333 10 "Sti" "G2C" 4 7 25 37 NA NA
"2829" 1 2828 28280 340.898816173759 43.5728110582503 -1.04825625012777 9.37437709624959 2.0478646641244 9.69044634784859 333.818181818182 10 "Sti" "G2C" 4 7 25 37 NA NA
