"ID" "sec" "frame" "pos_y" "pos_x" "dY" "absdY" "dv" "absdR" "size" "cat" "gp" "cond" "pck" "day" "expe" "plong" "age"
"73" 1 72 720 128.62272431284 85.6178829519385 -1.14534928656133 9.94031506658141 -0.143816409244337 7.74087088697931 455.136363636364 1 "Sti" "MC" 6 11 36 41 6
"74" 1 73 730 135.949646539897 65.6061660070785 -0.797023178455881 6.91724489828403 1.77583119614596 6.01836931398549 321.611111111111 1 "Sti" "MC" 6 11 36 41 6
"75" 1 74 739.444444444444 171.164546655517 55.5869144897154 -10.0278163041811 87.0299171291485 9.69653330354012 83.8412151683966 444.666666666667 1 "Sti" "MC" 6 11 36 41 6
"76" 1 75 750 267.258685823815 63.6702402652798 -8.31290326443811 72.1464434789286 -4.17304238377113 69.6917351246525 480.333333333333 1 "Sti" "MC" 6 11 36 41 6
"77" 1 76 760.375 339.817973371755 55.2201775281029 -7.7560317978996 67.3134393517761 -2.17805044565739 67.0703082863652 493.25 1 "Sti" "MC" 6 11 36 41 6
"78" 1 77 770 374.974618884775 65.8785836721988 -0.853364724035062 8.92697098654878 -5.69084539434965 9.39516161003826 482.5 1 "Sti" "MC" 6 11 36 41 6
"79" 1 78 780 375.339911927181 65.9964706776627 -0.0551303447735588 1.98028062771016 -0.102772335305872 3.38650917253716 467.2 1 "Sti" "MC" 6 11 36 41 6
"80" 1 79 790 373.982926742919 83.3739465894507 0.56817122543552 6.85669940756975 -2.02134337291903 6.47332676501293 444.5 1 "Sti" "MC" 6 11 36 41 6
"376" 1 378 3780 42.2711681361069 44.3510852531606 -0.904644117546368 7.85127092411989 2.46096056596291 4.32342569246501 497.136363636364 2 "Sti" "MC" 6 11 36 41 6
"377" 1 379 3790 66.5713360208952 45.4710979540184 -4.70378031630539 40.8234054857081 2.99514854612555 45.3983935859417 444.444444444444 2 "Sti" "MC" 6 11 36 41 6
"378" 1 380 3800.11111111111 112.187433372765 73.5084239002611 -6.08404116330357 52.8024828328644 1.02270043664844 53.5952640025047 512.722222222222 2 "Sti" "MC" 6 11 36 41 6
"379" 1 381 3810 176.623095378502 84.626127773916 -7.7247838585086 67.0422431617819 1.07093884240717 62.8095071644389 484.555555555556 2 "Sti" "MC" 6 11 36 41 6
"380" 1 382 3820.3 246.189350677099 83.0239026592715 -7.76451075058219 67.3870269133073 -1.87200954297441 62.9167536792835 504.25 2 "Sti" "MC" 6 11 36 41 6
"381" 1 383 3830 301.509841757162 78.3841565381837 -5.38383562698837 46.7255037628076 -2.15816486330186 45.4666561505443 503.388888888889 2 "Sti" "MC" 6 11 36 41 6
"382" 1 384 3839.8 338.220854170782 90.1638254007861 -3.67626872740789 31.9057861637722 1.21638437213818 32.804016597449 503.4 2 "Sti" "MC" 6 11 36 41 6
"676" 1 678 6780 347.52310960803 55.2626145523409 -0.267427724715257 4.0397201468528 0.830551615716388 2.86070017518949 329.545454545455 3 "Sti" "MC" 6 11 36 41 6
"677" 1 679 6790 349.703904435632 36.9422321220996 -1.42014009375617 13.0650468077965 4.12475878549185 13.3945884143104 334.277777777778 3 "Sti" "MC" 6 11 36 41 6
"678" 1 680 6800 377.504401880344 42.6506667774346 -2.2871729018332 21.9206461059546 -3.52194037420918 22.1778219395919 340.409090909091 3 "Sti" "MC" 6 11 36 41 6
"679" 1 681 6810 384.216012318576 46.9759793368848 -0.717772622331771 6.22944118083416 0.294860116044049 6.75685971998956 364.055555555556 3 "Sti" "MC" 6 11 36 41 6
"680" 1 682 6820 384.040374135763 49.9774701324304 0.623480640481375 5.4110951803234 -1.22781730467841 6.59854089862944 359.363636363636 3 "Sti" "MC" 6 11 36 41 6
"681" 1 683 6830 383.046311198058 37.8257830605084 -0.158216644030573 2.28006964820526 0.965959945208056 2.6173377348349 329.666666666667 3 "Sti" "MC" 6 11 36 41 6
"682" 1 684 6840 385.059822408094 43.7655989443932 -0.348701515174372 3.04320820835346 -0.477721014892268 2.78743876446555 311.954545454545 3 "Sti" "MC" 6 11 36 41 6
"976" 1 978 9780 43.2745000889085 31.8734830652126 -0.558906109201192 5.01541736405219 2.35236714450389 5.85666413320464 533 4 "Sti" "MC" 6 11 36 41 6
"977" 1 979 9790 72.0235111534965 37.1697893867597 -7.58106338711853 65.7949146970966 6.13437873127175 59.2787006775749 369.222222222222 4 "Sti" "MC" 6 11 36 41 6
"978" 1 980 9800 152.895157093936 30.5134526708008 -7.95575888806071 69.0468408798755 -2.59835842153403 67.3182468537962 326.863636363636 4 "Sti" "MC" 6 11 36 41 6
"979" 1 981 9810 209.930950593749 30.7762554834438 -7.24027126895272 62.8372309000898 2.56257459177991 61.6505687904621 297.166666666667 4 "Sti" "MC" 6 11 36 41 6
"980" 1 982 9820 291.879105125685 27.7264440696892 -10.1145331166575 87.7825193682202 -1.02778740504806 87.217339190065 296.545454545455 4 "Sti" "MC" 6 11 36 41 6
"981" 1 983 9830 364.039824241551 28.8472223935993 -4.32150920636525 37.5057317260595 -7.24207554200251 37.5757309237699 291.111111111111 4 "Sti" "MC" 6 11 36 41 6
"982" 1 984 9840 369.974341722491 31.1850117033367 -0.466893955670159 9.19462031879459 -0.302028878032388 9.06035518866759 306.409090909091 4 "Sti" "MC" 6 11 36 41 6
"1276" 1 1278 12780 259.49072459831 85.924999115662 0.107580717410821 3.37139626379667 1.50620589577989 4.54610868637445 485.409090909091 5 "Sti" "MC" 6 11 36 41 6
"1277" 1 1279 12790 271.790051436306 89.900074021719 -5.54361115479396 48.1121716596246 8.99478206593415 42.8505168808048 399.055555555556 5 "Sti" "MC" 6 11 36 41 6
"1278" 1 1280 12800.6666666667 354.31654246445 66.3127202116756 -8.13095548658758 70.5673459418544 -7.49429274588033 67.4501178221547 455.055555555556 5 "Sti" "MC" 6 11 36 41 6
"1279" 1 1281 12810 382.143455754423 79.4900324162977 0.42504401724118 11.3723699836301 -3.90347252328553 10.4553256810898 390.888888888889 5 "Sti" "MC" 6 11 36 41 6
"1280" 1 1282 12820 364.854736917452 90.5826049229707 1.82571154565899 16.4407850094203 1.66230665121265 15.9735290268284 366.727272727273 5 "Sti" "MC" 6 11 36 41 6
"1281" 1 1283 12830 367.623306257667 68.1186548701371 -2.39078600040421 20.749273937333 1.85902904025755 18.2373967232093 420.888888888889 5 "Sti" "MC" 6 11 36 41 6
"1282" 1 1284 12840 386.093754173987 77.1440351026947 -0.277730229541711 9.00562116466364 -3.0376814651915 10.4187350967252 465.363636363636 5 "Sti" "MC" 6 11 36 41 6
"1576" 1 1578 15780 41.3432896484917 52.4054860867353 -2.1474453601089 18.8209492143693 6.06938878719947 10.2742638681903 482.954545454545 6 "Sti" "MC" 6 11 36 41 6
"1577" 1 1579 15790 95.0695868005073 43.4464299116774 -10.5091836092332 91.2076319372966 7.46090733514424 82.2623480826054 494.6875 6 "Sti" "MC" 6 11 36 41 6
"1578" 1 1580 15801.125 204.671185020235 53.9011761082262 -9.19092436901584 79.7666572573942 -7.54730566537714 78.7167954227593 454.3125 6 "Sti" "MC" 6 11 36 41 6
"1579" 1 1581 15809.625 243.502876294443 51.1218252849444 -2.66546459324372 23.1331683413426 -3.11487057756474 20.7353499862951 502.625 6 "Sti" "MC" 6 11 36 41 6
"1580" 1 1582 15820 286.185692411267 55.1703219303405 -8.54642504342787 74.1731440542927 4.96715815001809 74.9961724766086 496.818181818182 6 "Sti" "MC" 6 11 36 41 6
"1581" 1 1583 15830.25 350.331762130055 55.0922890913989 -4.22615610090232 36.6781763925034 -5.49501223076726 34.7137441893953 519.75 6 "Sti" "MC" 6 11 36 41 6
"1582" 1 1584 15840 374.548639076014 52.5352747825785 -1.48054995904225 12.8494715432 -2.26910645781396 14.1202565111895 513.954545454545 6 "Sti" "MC" 6 11 36 41 6
"1876" 1 1878 18780 373.760458726891 88.8893008394312 0.00545223122192065 1.42111326063537 -0.198445798926059 1.42875642087211 412.090909090909 7 "Sti" "MC" 6 11 36 41 6
"1877" 1 1879 18790 378.304681572886 85.9777238591133 -1.11345322007323 9.66349387849806 1.74782105971349 6.53194065955205 351.777777777778 7 "Sti" "MC" 6 11 36 41 6
"1878" 1 1880 18800 384.395220374937 60.9404350275015 -0.266639551548895 4.88577388447823 -1.99577858055409 5.48796583582367 306.545454545455 7 "Sti" "MC" 6 11 36 41 6
"1879" 1 1881 18810 383.787374467638 44.7025231073006 -0.0679362019624081 3.59526663318456 0.86575864255741 3.73691613616666 327.277777777778 7 "Sti" "MC" 6 11 36 41 6
"1880" 1 1882 18820 386.855939472917 44.6519801852779 0.478386128675951 8.02745105274613 -1.7101471657835 5.75643093403153 294.090909090909 7 "Sti" "MC" 6 11 36 41 6
"1881" 1 1883 18830 381.539468510399 68.1762978615004 -0.10000869248438 2.69959695891077 2.54241594253273 2.86291692966921 412.555555555556 7 "Sti" "MC" 6 11 36 41 6
"1882" 1 1884 18840 386.135035913394 64.8567619767308 -0.744485310672577 6.54088318910971 -1.15717960966651 4.66828855804494 393.909090909091 7 "Sti" "MC" 6 11 36 41 6
"2176" 1 2178 21780 35.7082615493482 60.2204023101277 0.283923137759882 2.54145891923621 0.092715267717189 9.94958046832636 499.681818181818 8 "Sti" "MC" 6 11 36 41 6
"2177" 1 2179 21790 47.3490947072784 56.1396838263518 -6.20449526928603 53.8478859937847 9.58492347115854 47.3782449996395 480.055555555556 8 "Sti" "MC" 6 11 36 41 6
"2178" 1 2180 21800.5 136.298867270333 74.0005931371415 -9.44453180984802 81.9676782862455 -3.10465450602324 74.6482875777474 489.65 8 "Sti" "MC" 6 11 36 41 6
"2179" 1 2181 21810 193.67783781457 83.888997005967 -5.21252673840399 45.2387395536578 -2.0935842661458 45.6052628803592 487.722222222222 8 "Sti" "MC" 6 11 36 41 6
"2180" 1 2182 21820.3333333333 243.932537644223 86.1558991696883 -6.38311409195453 55.398092026983 1.73301358510682 51.8331378330941 512.388888888889 8 "Sti" "MC" 6 11 36 41 6
"2181" 1 2183 21830.1428571429 292.015252374903 84.5910786337198 -4.74454081810279 41.1771597813558 0.152965520860334 38.0343853329214 512.642857142857 8 "Sti" "MC" 6 11 36 41 6
"2182" 1 2184 21839.7 348.185138684866 82.9061330886431 -6.80114091492645 59.0260842695053 -3.9449332261737 59.4528852112919 462.5 8 "Sti" "MC" 6 11 36 41 6
"2476" 1 2478 24780 330.843980675944 36.7915834556913 -2.10808873458032 18.2957866704161 -1.58199077265886 17.3145833438479 424.681818181818 9 "Sti" "MC" 6 11 36 41 6
"2477" 1 2479 24790 341.710235708634 36.3444734425551 -3.00806765621674 26.1065690573392 4.06195941116522 25.8858541443088 277.277777777778 9 "Sti" "MC" 6 11 36 41 6
"2478" 1 2480 24800 380.523128959167 31.8373037087137 -1.96605109346919 21.7760952483092 -5.59985721817492 21.6484775795354 242.636363636364 9 "Sti" "MC" 6 11 36 41 6
